ID,totaltime,click_count,total_mouse_movement,mousewheel_count,total_mousewheel_distance,average_mousewheel_distance,copy_count,average_copy_length,paste_count,average_paste_length,delete_count,keypress_count,highlight_count,average_highlight_length,idle_count,average_idle_duration,total_idle_duration,Score
1001,540.317,68,51675.16802735365,1874,20022.0,10.68409818569904,0,0.0,19,25.789473684210527,52,464,0,0.0,26,3090.076923076923,80342,9.0
1002,794.067,51,17827.95372611588,2481,30062.0,12.11688835147118,0,0.0,17,70.3529411764706,11,170,0,0.0,37,3001.2162162162163,111045,8.0
1003,577.553,50,39180.56415457238,1495,19383.0,12.965217391304348,0,0.0,24,44.04166666666666,6,47,0,0.0,31,3003.6451612903224,93113,11.0
1005,401.162,34,21722.470586639072,1409,13309.0,9.445706174591908,0,0.0,20,60.2,1,69,0,0.0,29,3001.3793103448274,87040,10.5
1006,579.141,53,73887.8945217741,264,27800.0,105.3030303030303,4,20.25,11,55.72727272727273,82,541,8,22.5,31,3027.6451612903224,93857,11.0
1007,898.131,79,72887.23380131618,1895,47407.0,25.01688654353562,1,7.0,15,32.0,1,11,10,19.7,31,3001.483870967742,93046,10.0
1012,380.681,19,30601.70076256589,101,10100.0,100.0,0,0.0,5,42.0,24,9,1,11.0,10,3008.4,30084,8.0
1013,654.332,46,43358.03898675552,0,0.0,0.0,1,24.0,25,53.48,3,69,4,13.0,37,3029.5945945945946,112095,13.0
1014,534.885,71,32494.62399950477,208,15370.320434570312,73.89577132004958,0,0.0,27,66.51851851851852,8,37,0,0.0,30,3001.6,90048,4.0
1015,782.332,58,62013.00639400669,276,31300.0,113.40579710144928,0,0.0,19,30.57894736842105,31,183,3,15.333333333333334,43,3006.558139534884,129282,14.5
1016,398.924,74,54829.079217841,178,18000.0,101.12359550561796,2,46.0,31,46.74193548387097,14,3,2,7.5,18,3008.055555555556,54145,10.0
1019,610.545,40,26998.15120579418,1025,10270.0,10.019512195121951,0,0.0,17,36.1764705882353,8,148,1,4.0,33,3002.6060606060605,99086,13.0
1030,659.811,44,43317.20400836961,227,22700.0,100.0,0,0.0,24,51.54166666666666,3,63,0,0.0,20,3006.35,60127,7.0
1031,830.446,55,42119.28714376764,3361,32736.0,9.739958345730438,0,0.0,25,44.84,4,37,0,0.0,50,3001.5,150075,10.0
1033,739.603,63,55215.16407186019,357,36500.0,102.24089635854342,0,0.0,20,42.65,22,158,1,8.0,34,3007.8823529411766,102268,12.0
1034,361.504,19,31642.873133104247,69,6900.0,100.0,0,0.0,4,65.5,0,1,0,0.0,9,3007.333333333333,27066,1.0
1035,897.158,60,62049.700203341046,224,22400.0,100.0,0,0.0,20,36.0,157,1107,2,4.0,46,3007.804347826087,138359,9.0
1036,742.626,37,62436.934240759074,2115,35724.0,16.890780141843972,0,0.0,29,97.24137931034484,52,80,2,48.5,32,3007.34375,96235,8.0
1037,902.187,37,41835.72786327904,2329,34987.0,15.0223271790468,1,13.0,28,27.357142857142858,0,8,1,13.0,34,3006.235294117647,102212,11.0
2011,707.784,41,81739.24028363028,380,39500.0,103.94736842105264,1,647.0,29,34.44827586206897,0,2,3,647.0,46,3028.4565217391305,139309,11.0
2012,533.896,81,111806.91584317376,322,32900.0,102.17391304347828,4,49.0,26,63.92307692307692,43,255,18,26.166666666666668,26,3007.923076923077,78206,6.0
2014,368.965,27,18154.287865639755,1025,13712.0,13.377560975609756,0,0.0,0,0.0,32,781,1,23.0,14,3001.0,42014,11.0
2015,735.899,46,24893.817292236643,2623,28328.0,10.799847502859322,0,0.0,0,0.0,157,1306,2,14.0,24,3004.0,72096,9.0
2020,893.914,56,56077.04377888346,429,43400.0,101.16550116550115,1,5.0,29,52.58620689655172,0,4,1,5.0,42,3519.619047619048,147824,12.0
2022,695.011,70,47543.09442150439,878,26208.33231973648,29.850036810633807,0,0.0,20,68.55,85,90,7,28.857142857142858,38,3012.5789473684213,114478,7.0
2026,562.522,43,15466.053395560975,2333,32265.0,13.829832833261896,0,0.0,4,14.25,34,682,1,1.0,29,3000.896551724138,87026,9.0
2027,377.398,48,17279.820762125186,1914,28888.0,15.09299895506792,0,0.0,18,83.38888888888889,6,98,0,0.0,20,3003.55,60071,9.0
2028,876.924,50,93553.95309874666,240,24400.0,101.66666666666669,2,21.5,23,30.869565217391305,3,129,4,22.5,41,3008.0731707317077,123331,11.0
