average_copy_length,average_highlight_length,average_mousewheel_distance,average_paste_length,average_prompt_duration,click_count,copy_count,delete_count,filename,highlight_count,idle_count,keypress_count,med_copy_length,med_highlight_length,med_idle_duration,med_mousewheel_distance,med_paste_length,med_prompt_duration,mousewheel_count,overreliance_score,paste_count,total_focus_time,total_idle_duration,total_mouse_movement,total_mousewheel_distance,total_working_time,totaltime,windowswitch_count,windowswitch_speed
28.75,42.15,100.0,274.0,1.843,41,16,1,A1.json,20,21,0,7.5,8.5,2212,100,271.0,1.843,55,1,4,0,49739,61827.37876454864,5500,249.692,249.692,24,10.403833333333333
40.0,32.5,100.0,25.714285714285715,47.71644444444445,37,3,58,A2.json,8,35,190,32,27.0,2001,100,27.0,8.103,5,-20,14,0,70052,48434.297331718524,500,777.277,777.277,10,77.7277
0,0,100.0,44.5,2.6215,6,0,0,A3.json,0,9,0,0,0,2010,100.0,37.5,2.865,4,-37,4,0,18081,26368.262866842062,400,719.365,719.365,8,89.920625
0,0,100.0,565.0,4.386,5,0,0,A4.json,0,24,0,0,0,2004.0,100,565.0,4.386,111,20,2,0,48131,21975.15824452934,11100,500.117,500.117,9,55.568555555555555
307.5,317.3333333333333,100.0,155.83333333333334,14.386833333333334,19,2,5,A5.json,3,25,6,307.5,337,2005,100.0,42.0,7.697,38,20,6,0,50186,24484.012413214157,3800,321.78,321.78,15,21.451999999999998
21.6,20.68,0,467.5,10.876999999999999,24,15,4,A6.json,25,37,3,21,21,2161,0,467.5,10.876999999999999,0,8,2,0,85892,36110.33557784124,0,531.553,531.553,27,19.687148148148147
21.4375,20.52,0,316.6666666666667,1.6293333333333333,32,16,0,A7.json,25,34,5,20.5,21,2008.0,0,160,1.673,0,20,3,0,68364,37808.87927642868,0,406.512,406.512,27,15.056
21.533333333333335,123.65,0,777.0,4.906,34,15,0,A8.json,20,27,4,21,23.0,2012,0,777,4.906,0,26,1,0,54299,27359.67253906761,0,485.657,485.657,21,23.12652380952381
0,0,100.0,0,0,1,0,0,A9.json,0,15,0,0,0,2006,100.0,0,0,104,12,0,0,30108,6949.116175165564,10400,464.0,464.0,2,232.0
0,320.0,99.99999884597439,101.0,70.0615,40,0,7,B1.json,4,51,67,0,320.0,2001,99.99999884597398,25.5,70.0615,433,34,16,0,102066,72192.20754950249,43299.99950030691,921.885,921.885,19,48.52026315789474
376.0,301.6,100.0,866.5,0,20,1,6,B2.json,5,24,64,376,376,2008.0,100.0,866.5,0,36,-1,2,0,48236,44240.732994051235,3600,539.249,539.249,13,41.48069230769231
232.73684210526315,835.75,102.08333333333333,304.8333333333333,42.04822222222222,67,19,24,B3.json,28,49,312,28,30.5,2009,100.0,47.0,30.186,240,8,6,0,98431,48904.370005856064,24500,642.87,642.87,31,20.73774193548387
0,0,104.40251572327044,345.5,30.372000000000003,12,0,5,B4.json,0,45,5,0,0,2007,100,169.0,4.369,159,36,6,0,90351,20072.252636792804,16600,1045.026,1045.026,13,80.3866153846154
375.0,375.0,101.63934426229508,715.0,30.605500000000003,13,1,11,B5.json,2,23,93,375,375.0,2008,100,236,11.272,61,15,3,0,46323,20803.039086309214,6200,437.153,437.153,14,31.225214285714287
19.5,19.25,100.0,486.75,0,36,2,27,B6.json,4,41,296,19.5,19.5,2009,100.0,21.5,0,166,-5,4,0,82600,38438.31381050403,16600,904.79,904.79,15,60.31933333333333
0,0,100.0,32.75,1.7782499999999999,5,0,0,B7.json,0,8,0,0,0,2006.5,100.0,33.5,1.6775,74,9,4,0,16058,20872.53359143762,7400,270.466,270.466,6,45.077666666666666
24.933333333333334,93.66666666666667,101.6,1834.0,0,34,15,44,C1.json,21,47,239,26,26,2006,100,1834,0,125,51,1,0,94338,60210.00205743768,12700,548.79,548.79,20,27.4395
11.0,39.666666666666664,106.75675675675676,126.8,4.1134,20,1,0,C2.json,3,27,0,11,54,2181,100.0,95,3.088,74,18,5,0,63010,54447.49311921016,7900,616.92,616.92,30,20.564
0,0,0,32.4,2.0486,7,0,0,C3.json,0,9,0,0,0,2004,0,31,2.459,0,-7,5,0,18042,21138.429489734794,0,299.581,299.581,7,42.797285714285714
139.29166666666666,195.72727272727272,109.33879323655704,0,0,44,24,1,C4.json,33,25,1,28.5,83,2001,111.111118960283,0,0,163,47,0,0,50023,40706.823154500125,17822.223297558798,266.658,266.658,19,14.03463157894737
32.25,31.0,107.72128060263654,92.0,114.4425,28,4,12,C5.json,11,39,121,27.0,19,2001,100,31.5,61.7615,531,37,6,0,78106,113532.04399156303,57200,602.524,602.524,8,75.3155
62.470588235294116,489.48,100.57142857142857,244.11111111111111,29.4345,48,17,0,C6.json,25,43,1,28,30,2007,100,28,4.3015,175,32,9,0,86391,44082.23903776224,17600,484.051,484.051,37,13.082459459459459
365.0,127.66666666666667,100.0,369.6666666666667,35.8635,18,1,4,C7.json,3,19,2,365,9,2008,100.0,65.0,26.734499999999997,22,26,6,0,38153,17546.919462990543,2200,438.874,438.874,10,43.8874
24.133333333333333,22.94736842105263,101.17647058823529,245.33333333333334,21.06875,43,15,0,C8.json,19,49,1,25,25,2009,100,30,2.266,85,25,9,0,98545,42222.40518539711,8600,690.937,690.937,37,18.673972972972972
0,0,102.08333333333333,37.0,1.7051666666666667,11,0,0,D1.json,0,13,0,0,0,2006,100.0,36.0,1.1675,48,3,6,0,26082,24721.19972634557,4900,303.661,303.661,8,37.957625
0,49.0,100.0,445.0,13.265500000000001,17,0,3,D2.json,1,27,26,0,49,2174,100.0,10,13.265500000000001,216,-10,3,0,63872,28641.114699377482,21600,517.295,517.295,26,19.89596153846154
0,0,100.0,47.0,0,14,0,0,D3.json,0,20,0,0,0,2005.0,100,44,0,11,-34,7,0,40126,34630.57999632081,1100,977.359,977.359,11,88.85081818181818
0,0,100.0,54.0,2.994,17,0,0,D4.json,0,21,0,0,0,2005,100.0,54,2.994,30,4,7,0,42819,37336.31363449917,3000,768.664,768.664,10,76.8664
7.25,72.54545454545455,111.29943502824858,96.0,14.344800000000001,64,12,3,D5.json,22,41,0,6.0,5.5,2084,100,125,11.481,177,9,5,0,93382,82634.01482558415,19700,613.145,613.145,38,16.135394736842105
0,0,100.0,59.4,1.7946,9,0,0,D6.json,0,23,0,0,0,2006,100,62,1.291,13,20,5,0,47136,26365.08388882153,1300,809.014,809.014,11,73.54672727272727
1965.6666666666667,1302.888888888889,170.41666666666666,206.28571428571428,226.98033333333333,36,3,5,D7.json,9,78,104,1570,617,2007.5,100.0,23,272.353,240,-15,7,0,156617,76049.83164918427,40900,961.245,961.245,26,36.97096153846154
28.0,25.5,106.18556701030928,63.0,7.378,26,1,2,D8.json,2,43,0,28,25.5,2018,100,57,3.246,97,13,7,0,95986,53305.44848238113,10300,622.797,622.797,36,17.299916666666668
21.38888888888889,20.894736842105264,101.63934426229508,37.4,31.6745,53,18,5,D9.json,19,46,5,21.0,21,2007.5,100,24.5,22.006,61,11,10,0,92371,36059.255985580385,6200,579.507,579.507,28,20.69667857142857
