average_copy_length,average_highlight_length,average_mousewheel_distance,average_paste_length,average_prompt_duration,average_prompt_length,click_count,copy_count,delete_count,filename,highlight_count,idle_count,keypress_count,med_copy_length,med_highlight_length,med_idle_duration,med_mousewheel_distance,med_paste_length,median_prompt_duration,median_prompt_length,mousewheel_count,overreliance_score,paste_count,prompt_count,total_focus_time,total_idle_duration,total_mouse_movement,total_mousewheel_distance,total_prompt_duration,total_prompt_length,totaltime,windowswitch_count,windowswitch_speed
28.75,42.15,100.0,274.0,120.993,0,41,16,1,A1.json,20,21,0,7.5,8.5,2212,100,271.0,120.993,0.0,55,1,4,2,0,49739,61827.37876454864,5500,241.986,0,249.692,24,10.403833333333333
40.0,32.5,100.0,25.714285714285715,59.0489,12.5,37,3,58,A2.json,8,35,190,32,27.0,2001,100,27.0,26.4435,0.5,5,-20,14,10,0,70052,48434.297331718524,500,590.489,125,777.277,10,77.7277
0,0,100.0,44.5,139.284,0,6,0,0,A3.json,0,9,0,0,0,2010,100.0,37.5,126.35900000000001,0.0,4,-37,4,4,0,18081,26368.262866842062,400,557.136,0,719.365,8,89.920625
0,0,100.0,565.0,159.66,0,5,0,0,A4.json,0,24,0,0,0,2004.0,100,565.0,21.228,0,111,5,2,3,0,48131,21975.15824452934,11100,478.98,0,500.117,9,55.568555555555555
307.5,317.3333333333333,100.0,155.83333333333334,42.185,0.2857142857142857,19,2,5,A5.json,3,25,6,307.5,337,2005,100.0,42.0,39.804,0,38,20,6,7,0,50186,24484.012413214157,3800,295.295,2,321.78,15,21.451999999999998
21.6,20.68,0,467.5,129.40933333333334,0,24,15,4,A6.json,25,37,3,21,21,2161,0,467.5,54.006,0,0,8,2,3,0,85892,36110.33557784124,0,388.22799999999995,0,531.553,27,19.687148148148147
21.4375,20.52,0,316.6666666666667,125.77466666666668,1,32,16,0,A7.json,25,34,5,20.5,21,2008.0,0,160,36.97,0,0,18,3,3,0,68364,37808.87927642868,0,377.324,3,406.512,27,15.056
21.533333333333335,123.65,0,777.0,463.218,3,34,15,0,A8.json,20,27,4,21,23.0,2012,0,777,463.218,3,0,26,1,1,0,54299,27359.67253906761,0,463.218,3,485.657,21,23.12652380952381
0,320.0,99.99999884597439,101.0,443.3895,33.5,40,0,7,B1.json,4,51,67,0,320.0,2001,99.99999884597398,25.5,443.3895,33.5,433,34,16,2,0,102066,72192.20754950249,43299.99950030691,886.779,67,921.885,19,48.52026315789474
20.0,14.285714285714286,100.0,24.4,64.70175,26.5,30,3,66,B2.json,7,41,301,23,12,2001,100.0,23,69.1395,27.0,36,29,5,8,0,82195,37248.74872449013,3600,517.614,212,727.19,8,90.89875
376.0,301.6,100.0,866.5,0,0,20,1,6,B3.json,5,24,64,376,376,2008.0,100.0,866.5,0,0,36,-1,2,0,0,48236,44240.732994051235,3600,0,0,539.249,13,41.48069230769231
232.73684210526315,835.75,102.08333333333333,304.8333333333333,70.09077777777777,32.44444444444444,67,19,24,B4.json,28,49,312,28,30.5,2009,100.0,47.0,59.051,0,240,8,6,9,0,98431,48904.370005856064,24500,630.817,292,642.87,31,20.73774193548387
0,0,104.40251572327044,345.5,176.31539999999998,0,12,0,5,B5.json,0,45,5,0,0,2007,100,169.0,176.135,0,159,36,6,5,0,90351,20072.252636792804,16600,881.577,0,1045.026,13,80.3866153846154
24.933333333333334,93.66666666666667,101.6,1834.0,0,0,34,15,44,C1.json,21,47,239,26,26,2006,100,1834,0,0,125,51,1,0,0,94338,60210.00205743768,12700,0,0,548.79,20,27.4395
11.0,39.666666666666664,106.75675675675676,126.8,98.68866666666668,0,20,1,0,C2.json,3,27,0,11,54,2181,100.0,95,45.579,0.0,74,15,5,6,0,63010,54447.49311921016,7900,592.1320000000001,0,616.92,30,20.564
0,0,0,32.4,57.9108,0,7,0,0,C3.json,0,9,0,0,0,2004,0,31,9.94,0,0,-7,5,5,0,18042,21138.429489734794,0,289.55400000000003,0,299.581,7,42.797285714285714
0,0,102.08333333333333,37.0,47.934666666666665,0,11,0,0,D1.json,0,13,0,0,0,2006,100.0,36.0,12.0095,0.0,48,3,6,6,0,26082,24721.19972634557,4900,287.608,0,303.661,8,37.957625
0,49.0,100.0,445.0,161.96266666666665,0,17,0,3,D2.json,1,27,26,0,49,2174,100.0,10,151.963,0,216,-10,3,3,0,63872,28641.114699377482,21600,485.888,0,517.295,26,19.89596153846154
0,0,100.0,47.0,0,0,14,0,0,D3.json,0,20,0,0,0,2005.0,100,44,0,0,11,-34,7,0,0,40126,34630.57999632081,1100,0,0,977.359,11,88.85081818181818
0,0,100.0,54.0,676.308,0,17,0,0,D4.json,0,21,0,0,0,2005,100.0,54,676.308,0,30,4,7,1,0,42819,37336.31363449917,3000,676.308,0,768.664,10,76.8664
7.25,72.54545454545455,111.29943502824858,96.0,72.1255,0,64,12,3,D5.json,22,41,0,6.0,5.5,2084,100,125,42.1685,0.0,177,9,5,8,0,93382,82634.01482558415,19700,577.004,0,613.145,38,16.135394736842105
0,0,100.0,59.4,117.969,0,9,0,0,D6.json,0,23,0,0,0,2006,100,62,72.786,0,13,20,5,5,0,47136,26365.08388882153,1300,589.845,0,809.014,11,73.54672727272727
1965.6666666666667,1302.888888888889,170.41666666666666,206.28571428571428,218.0935,24,36,3,5,D7.json,9,78,104,1570,617,2007.5,100.0,23,192.7815,5.0,240,-15,7,4,0,156617,76049.83164918427,40900,872.374,96,961.245,26,36.97096153846154
