Participant,Scores
(A1,"[3, 4, 14, 7, 1, 12, 9.5, 8, 11, 9, 10, 13, 5, 6, 2]",)
(A2,"[15, 4, 5, 1, 9, 11, 13, 3, 6, 12, 10, 2, 14, 7, 8]",)
(A3,"[10, 8, 11, 14, 5, 15, 12, 1, 2, 13, 9, 3, 7, 4, 6]",)
(A4,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
(A5,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
(A6,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
(A7,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
(A8,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
(A9,"[3, 4, 13, 7, 1, 12, 15, 8, 11, 9, 10, 14, 5, 6, 2]",)
(A10,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
(B1,"[15, 3, 11, 12, 6, 13, 4, 2, 7, 14, 8, 1, 10, 5, 9]",)
(B2,"[9, 10, 11, 12, 6, 5, 13, 3, 4, 15, 7, 1, 2, 14, 8]",)
(B3,"[5, 15, 7, 11, 8, 9, 10, 6, 2, 12, 3, 13, 4, 14, 1]",)
(B4,"[6, 7, 10, 9, 12, 11, 15, 3, 5, 14, 13, 4, 8, 1, 2]",)
(B5,"[12, 14, 15, 10, 4, 13, 8, 9, 2, 11, 5, 7, 6, 7, 1]",)
(B6,"[7, 13, 8, 14, 6, 11, 9, 1, 4, 15, 5, 10, 3, 12, 2]",)
(B7,"[8, 4, 9, 14, 5, 2, 10, 3, 13, 9.3, 12, 1, 11, 7, 6]",)
(B8,"[4, 10, 7, 14, 5, 11, 8, 1, 6, 15, 13, 12, 3, 9, 2]",)
(B9,"[14, 4, 12, 15, 5, 13, 3, 1, 10, 11, 9, 2, 8, 7, 6]",)
(C1,"[12, 5, 7, 13, 6, 14, 11, 1, 2, 10, 15, 3, 9, 8, 4]",)
(C2,"[7, 6, 8, 9, 10, 13, 15, 12, 11, 14, 8, 1, 3, 2, 4]",)
(C3,"[11, 4, 12, 13, 5, 15, 2, 3, 14, 10, 9, 1, 8, 7, 6]",)
(C4,"[14, 2, 9, 13, 12, 11, 15, 1, 5, 10, 6, 3, 8, 7, 4]",)
(C5,"[15, 5, 11, 12, 9, 10, 14, 1, 7, 8, 13, 3, 6, 4, 2]",)
(C6,"[8, 3, 8.8, 13, 9, 15, 14, 1, 6, 12, 5, 2, 7, 4, 10]",)
(C7,"[9, 14, 8, 10, 6, 13, 12, 1, 7, 15, 4, 5, 3, 11, 2]",)
(C8,"[8, 14, 7, 10, 6, 12, 11, 1, 2, 15, 5, 9, 4, 13, 3]",)
(C9,"[11, 8, 10, 12, 5, 9, 15, 1, 4, 13, 14, 7, 2, 3, 6]",)
(C10,"[6, 12, 3, 14, 8, 11, 10, 9, 4, 15, 7, 7.3, 5, 13, 1]",)
(D1,"[12, 4, 13, 14, 5, 15, 3, 1, 11, 10, 9, 2, 8, 7, 6]",)
(D2,"[12, 2, 15, 3, 4, 14, 8, 1, 11, 13, 7, 10, 9, 6, 5]",)
(D3,"[14, 4, 10, 11, 5, 15, 13, 1, 2, 12, 7, 3, 6, 9, 8]",)
(D4,"[3, 5, 14, 12, 1, 15, 13, 11, 6, 9, 10, 7, 4, 8, 2]",)
(D5,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
(D6,"[3, 6, 14, 7, 1, 15, 13, 11, 12, 9, 5, 10, 4, 8, 2]",)
(D7,"[10, 5, 8, 9, 1, 14, 15, 11, 3, 7, 12, 13, 4, 6, 2]",)
(D8,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
(D9,"[3, 4, 14, 7, 1, 12, 15, 8, 11, 9, 10, 13, 5, 6, 2]",)
